InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,House,AllGridExpectedCost
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,10,8,138149.29310089827
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,10,9,173684.4998846996
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,10,10,151694.31447922127
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,1,152951.26428766537
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,2,162323.20089897365
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,3,156250.56789166527
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,4,159937.93603792603
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,5,151160.1617122202
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,6,156435.79500803817
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,7,158788.80677185886
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,8,150885.51335771367
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,9,150941.2092612141
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,10,157273.61797736533
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,10,1,164278.28775277553
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,10,2,151758.70734270435
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,10,3,143386.08192653905
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,10,4,143628.99424627982
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,10,5,143595.84075736717
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,10,6,143619.03517274535
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,10,7,143406.96870324868
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,10,8,164555.11359049287
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,10,9,143534.9945599049
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,10,10,161988.33848303702
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,1,151676.8212275246
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,2,151377.40738982862
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,3,155594.0076658156
